SpeedLimit,Over_pct,O5mph_pct,Speed_avg,SpeedO_avg,Spd5O_avg
35,54,19,35,39,44
0,5,1,18,29,35
0,45,19,23,30,33
35,54,19,35,39,44
25,82,34,28,29,33
25,95,67,32,32,34
25,95,61,31,32,35
25,91,53,30,31,34
0,4,1,17,30,47
0,58,24,25,29,33
0,71,26,27,29,34
0,71,26,27,29,34
35,65,18,36,39,43
35,65,18,36,39,43
35,34,7,33,38,42
35,34,7,33,38,42
35,30,9,32,39,42
35,30,9,32,39,42
35,41,11,34,39,43
35,41,11,34,39,43
35,32,8,33,39,43
35,32,8,33,39,43
0,5,1,14,29,42
0,5,1,16,29,33
0,59,26,41,44,48
0,59,26,41,44,48
35,56,15,35,39,44
35,56,15,35,39,44
35,51,12,35,38,42
35,51,12,35,38,42
0,23,2,21,28,34
30,73,31,32,34,38
30,73,31,32,34,38
30,73,31,32,34,38
30,73,31,32,34,38
30,73,31,32,34,38
30,73,31,32,34,38
35,9,1,27,37,42
35,9,1,27,37,42
0,89,37,29,29,33
0,82,31,28,29,33
25,62,17,26,28,32
25,32,6,23,28,34
0,60,22,26,29,33
35,52,13,35,39,43
25,78,33,28,30,34
35,52,13,35,39,43
35,52,13,35,39,43
25,53,11,25,28,33
25,61,19,26,29,32
0,50,10,24,28,33
0,53,12,24,28,33
0,33,9,22,29,33
25,83,50,29,31,34
25,83,50,29,31,34
25,86,42,29,30,33
25,86,42,29,30,33
25,48,11,24,28,33
25,18,1,20,27,33
25,38,13,22,31,39
35,72,40,38,41,44
35,72,40,38,41,44
35,72,40,38,41,44
0,44,15,22,29,34
30,68,27,32,34,38
0,75,41,28,31,34
35,68,30,37,40,44
35,68,30,37,40,44
25,48,15,24,29,33
25,48,15,24,29,33
0,26,6,20,28,33
0,18,4,20,29,36
0,32,5,22,28,34
0,32,5,22,28,34
0,42,9,23,28,33
30,18,0,25,32,0
30,18,0,25,32,0
0,9,2,15,29,37
0,66,23,26,29,33
0,97,76,33,33,35
0,97,76,33,33,35
0,25,3,21,28,33
25,63,25,26,30,33
25,78,33,28,30,34
25,63,25,26,30,33
25,78,33,28,30,34
25,78,33,28,30,34
25,58,19,26,29,33
25,58,19,26,29,33
25,58,19,26,29,33
25,58,19,26,29,33
25,58,19,26,29,33
25,58,19,26,29,33
25,58,19,26,29,33
25,49,13,25,29,33
25,49,13,25,29,33
35,21,8,31,39,43
35,21,8,31,39,43
35,54,14,35,39,43
35,54,14,35,39,43
35,83,50,29,31,34
35,83,50,29,31,34
25,68,20,27,29,34
25,72,33,28,30,34
25,72,33,28,30,34
25,4,0,19,27,0
